FECHA;BTC;ORO
26/4/2019;5153.65957;1284.2
29/4/2019;5147.75;1279.5
30/4/2019;5268.802191;1282.3
1/5/2019;5324.154952;1283.8
2/5/2019;5389.474386;1270.95
3/5/2019;5657.335597;1278.55
6/5/2019;5684.9841;1278.55
7/5/2019;5746.113005;1281.2
8/5/2019;5940.993917;1285.2
9/5/2019;6148.723385;1286.1
10/5/2019;6343.039231;1287.1
13/5/2019;7815.10872;1295.6
14/5/2019;7991.811739;1298.4
15/5/2019;8204.663109;1299.1
16/5/2019;7881.833365;1291.7
17/5/2019;7360.082599;1280.8
20/5/2019;8002.904127;1276.85
21/5/2019;7952.816042;1271.15
22/5/2019;7622.1;1273.8
23/5/2019;7878.43;1283.65
24/5/2019;8001.827745;1282.5
27/5/2019;8775.525347;1282.5
28/5/2019;8718.05221;1278.3
29/5/2019;8662.269249;1281.65
30/5/2019;8273.454843;1280.95
31/5/2019;8554.933365;1295.55
3/6/2019;8112.669243;1317.1
4/6/2019;7671.14054;1324.25
5/6/2019;7788.343583;1335.05
6/6/2019;7801.88687;1335.5
7/6/2019;8004.398769;1340.65
10/6/2019;8019.495045;1328.6
11/6/2019;7915.7;1324.3
12/6/2019;8174.519524;1332.35
13/6/2019;8235.841458;1335.9
14/6/2019;8697.8694;1351.25
17/6/2019;9331.687667;1341.3
18/6/2019;9080.021622;1341.35
19/6/2019;9280.784754;1344.05
20/6/2019;9533.197807;1379.5
21/6/2019;10228.57059;1397.15
24/6/2019;11026.12064;1405.7
25/6/2019;11757.631;1431.4
26/6/2019;12929.5036;1403.95
27/6/2019;11139.38989;1402.5
28/6/2019;12368.58451;1409
1/7/2019;10570.77745;1390.1
2/7/2019;10830.82698;1391.05
3/7/2019;11977.12095;1413.5
4/7/2019;11150;1414.9
5/7/2019;10987.352;1388.65
8/7/2019;12304.35008;1400.1
9/7/2019;12574.75307;1391.55
10/7/2019;12097.50827;1408.3
11/7/2019;11350.10796;1413.75
12/7/2019;11804.69291;1407.6
15/7/2019;10856.6023;1412.4
16/7/2019;9415.753085;1409.85
17/7/2019;9706.7832;1410.35
18/7/2019;10644.85254;1417.45
19/7/2019;10534.86526;1439.7
22/7/2019;10323.21072;1427.75
23/7/2019;9842.867693;1425.55
24/7/2019;9771.864;1426.95
25/7/2019;9875.726288;1416.1
26/7/2019;9848.306808;1420.4
29/7/2019;9502.682113;1419.05
30/7/2019;9588.658645;1425.9
31/7/2019;10090.1543;1427.55
1/8/2019;10405.91574;1406.8
2/8/2019;10532.66603;1441.75
5/8/2019;11796.75;1465.25
6/8/2019;11467.42987;1465.25
7/8/2019;11963.90672;1506.05
8/8/2019;11996.06764;1495.75
9/8/2019;11859.47175;1497.7
12/8/2019;11384.2;1504.7
13/8/2019;10856.53254;1498.4
14/8/2019;10018.30322;1513.25
15/8/2019;10300.29759;1515.65
16/8/2019;10358.0893;1515.25
19/8/2019;10919.85;1496.6
20/8/2019;10752.21479;1504.55
21/8/2019;10127.52841;1503.25
22/8/2019;10113.61605;1502.05
23/8/2019;10408.50522;1503.8
26/8/2019;10361.60827;1503.8
27/8/2019;10172.62445;1532.95
28/8/2019;9718.249401;1537.15
29/8/2019;9484.267811;1540.2
30/8/2019;9578.87776;1528.4
2/9/2019;10387.4391;1525.95
3/9/2019;10625.55861;1537.85
4/9/2019;10583.69429;1546.1
5/9/2019;10576.58546;1529.1
6/9/2019;10317.68029;1523.7
9/9/2019;10314.40576;1509.2
